name;			Number;	Photo.link;		Type 1;	Type 2;	Ability 1;	Ability 2;	Hidden Ability;	Catch Rate;	Egg Group1;	Egg Group2;	Hp;	Atk;	Def;	Spatk;	Spdef;	Speed
Hippopotas;		449;	;				Ground;	;		Sand Stream;;			Sand Force;		140;		Field;		;			68;72;78;38;42;32
Hippowdon;		450;	;				Ground;	;		Sand Stream;;			Sand Force;		60;			Field;		;			108;112;118;68;72;47
Skorupi;		451;	;				Poison;	Bug;	Battle Armor;Sniper;	Keen Eye;		120;		Bug;		Water 3;	40;50;90;30;55;65
Drapion;		452;	;				Poison;	Dark;	Battle Armor;Sniper;	Keen Eye;		45;			Bug;		Water 3;	70;90;110;60;75;95
Croagunk;		453;	;				Poison;	Fighting;Anticipation;Dry Skin;	Poison Touch;	140;		Human-Like;	;			48;61;40;61;40;50
Toxicroak;		454;	;				Poison;	Fighting;Anticipation;Dry Skin;	Poison Touch;	75;			Human-Like;	;			83;106;65;86;65;85
Carnivine;		455;	;				Grass;	;		Levitate;	;			;				200;		Grass;		;			74;100;72;90;72;46
Finneon;		456;	;				Water;	;		Swift Swim;	Storm Drain;Water Veil;		190;		Water 2;	;			49;49;56;49;61;66
Lumineon;		457;	;				Water;	;		Swift Swim;	Storm Drain;Water Veil;		75;			Water 2;	;			69;69;76;69;86;91
Mantyke;		458;	;				Water;	Flying;	Swift Swim;	Water Absorb;Water Veil;	25;			Undiscovered;;			45;20;50;60;120;50
Snover;			459;	;				Grass;	Ice;	Snow Warning;;			Soundproof;		120;		Monster;	Grass;		60;62;50;62;60;40
Abomasnow;		460;	;				Grass;	Ice;	Snow Warning;;			Soundproof;		60;			Monster;	Grass;		90;92;75;92;85;60
Weavile;		461;	;				Dark;	Ice;	Pressure;	;			Pickpocket;		45;			Field;		;			70;120;65;45;85;125
Magnezone;		462;	;				Electric;Steel;	Magnet Pull;Sturdy;		Analytic;		30;			Mineral;	;			70;70;115;130;90;60
Lickilicky;		463;	;				Normal;	;		Own Tempo;	Oblivious;	Cloud Nine;		30;			Monster;	;			110;85;95;80;95;50
Rhyperior;		464;	;				Ground;	Rock;	Lightning Rod;Solid Rock;Reckless;		30;			Monster;	Field;		115;140;130;55;55;40
Tangrowth;		465;	;				Grass;	;		Chlorophyll;Leaf Guard;	Regenerator;	30;			Grass;		;			100;100;125;110;50;50
Electivire;		466;	;				Electric;;		Motor Drive;;			Vital Spirit;	30;			Human-Like;	;			75;123;67;95;85;95
Magmortar;		467;	;				Fire;	;		Flame Body;	;			Vital Spirit;	30;			Human-Like;	;			75;95;67;125;95;83
Togekiss;		468;	;				Fairy;	Flying;	Hustle;		Serene Grace;Super Luck;	30;			Flying;		Fairy;		85;50;95;120;115;80
Yanmega;		469;	;				Bug;	Flying;	Speed Boost;Tinted Lens;Frisk;			30;			Bug;		;			86;76;86;116;56;95
Leafeon;		470;	;				Grass;	;		Leaf Guard;	;			Chlorophyll;	45;			Field;		;			65;110;130;60;65;95
Glaceon;		471;	;				Ice;	;		Snow Cloak;	;			Ice Body;		45;			Field;		;			65;60;110;130;95;65
Gliscor;		472;	;				Ground;	Flying;	Hyper Cutter;Sand Veil;	Poison Heal;	30;			Bug;		;			75;95;125;45;75;95
Mamoswine;		473;	;				Ice;	Ground;	Oblivious;	Snow Cloak;	Thick Fat;		50;			Field;		;			110;130;80;70;60;80
Porygon-Z;		474;	;				Normal;	;		Adaptability;Download;	Analytic;		30;			Mineral;	;			85;80;70;135;75;90
Gallade;		475;	;				Psychic;Fighting;Steadfast;	;			Justified;		45;			Amorphous;	;			68;125;65;65;115;80
Probopass;		476;	;				Rock;	Steel;	Sturdy;		Magnet Pull;Sand Force;		60;			Mineral;	;			60;55;145;75;150;40
Dusknoir;		477;	;				Ghost;	;		Pressure;	;			Frisk;			45;			Amorphous;	;			45;100;135;65;135;45
Froslass;		478;	;				Ice;	Ghost;	Snow Cloak;	;			Cursed Body;	75;			Fairy;		Mineral;	70;80;70;80;70;110
Rotom;			479;	;				Electric;Ghost;	Levitate;	;			;				45;			Amorphous;	;			50;50;77;95;77;91
Uxie;			480;	;				Psychic;;		Levitate;	;			;				3;			Undiscovered;;			75;75;130;75;130;95
Mesprit;		481;	;				Psychic;;		Levitate;	;			;				3;			Undiscovered;;			80;105;105;105;105;80
Azelf;			482;	;				Psychic;;		Levitate;	;			;				3;			Undiscovered;;			75;125;70;125;70;115
Dialga;			483;	;				Steel;	Dragon;	Pressure;	;			Telepathy;		3;			Undiscovered;;			100;120;120;150;100;90
Palkia;			484;	;				Water;	Dragon;	Pressure;	;			Telepathy;		3;			Undiscovered;;			90;120;100;150;120;100
Heatran;		485;	;				Fire;	Steel;	Flash Fire;	;			Flame Body;		3;			Undiscovered;;			91;90;106;130;106;77
Regigigas;		486;	;				Normal;	;		Slow Start;	;			;				3;			Undiscovered;;			110;160;110;80;110;100
Giratina;		487;	;				Ground;	Dragon;	Pressure;	;			Telepathy;		3;			Undiscovered;;			150;100;120;100;120;90
Cresselia;		488;	;				Psychic;;		Levitate;	;			;				3;			Undiscovered;;			120;70;120;75;130;85
Phione;			489;	;				Water;	;		Hydration;	;			;				30;			Water 1;	Fairy;		80;80;80;80;80;80
Manaphy;		490;	;				Water;	;		Hydration;	;			;				3;			Water 1;	Fairy;		100;100;100;100;100;100
Darkrai;		491;	;				Dark;	;		Bad Dreams;	;			;				3;			Undiscovered;;			70;90;90;135;90;125
Shaymin;		492;	;				Grass;	;		Natural Cure;;			;				45;			Undiscovered;;			100;100;100;100;100;100
Arceus;			493;	;				Normal;	;		Multitype;	;			;				3;			Undiscovered;;			120;120;120;120;120;120
Victini;		494;	;				Psychic;Fire;	Victory Star;;			;				3;			Undiscovered;;			100;100;100;100;100;100
Snivy;			495;	;				Grass;	;		Overgrow;	;			Contrary;		45;			Field;		Grass;		45;45;55;45;55;63
Servine;		496;	;				Grass;	;		Overgrow;	;			Contrary;		45;			Field;		Grass;		60;60;75;60;75;83
Serperior;		497;	;				Grass;	;		Overgrow;	;			Contrary;		45;			Field;		Grass;		75;75;95;75;95;113
Tepig;			498;	;				Fire;	;		Blaze;		;			Thick Fat;		45;			Field;		;			65;63;45;45;45;45
Pignite;		499;	;				Fire;	Fighting;Blaze;		;			Thick Fat;		45;			Field;		;			90;93;55;70;55;55
Emboar;			500;	;				Fire;	Fighting;Blaze;		;			Thick Fat;		45;			Field;		;			110;123;65;100;65;65
Oshawott;		501;	;				Water;	;		Torrent;	;			Shell Armor;	45;			Field;		;			55;55;45;63;45;45
Dewott;			502;	;				Water;	;		Torrent;	;			Shell Armor;	45;			Field;		;			75;75;60;83;60;60
Samurott;		503;	;				Water;	;		Torrent;	;			Shell Armor;	45;			Field;		;			95;100;85;108;70;70
Patrat;			504;	;				Normal;	;		Run Away;	Keen Eye;	Analytic;		255;		Field;		;			45;55;39;35;39;42
Watchog;		505;	;				Normal;	;		Illuminate;	Keen Eye;	Analytic;		255;		Field;		;			60;85;69;60;69;77
Lillipup;		506;	;				Normal;	;		Vital Spirit;Keen Eye;	Run Away;		255;		Field;		;			45;60;45;25;45;55
Herdier;		507;	;				Normal;	;		Intimidate;	Sand Rush;	Scrappy;		120;		Field;		;			65;80;65;35;65;60
Stoutland;		508;	;				Normal;	;		Intimidate;	Sand Rush;	Scrappy;		45;			Field;		;			85;110;90;45;90;80
Purrloin;		509;	;				Dark;	;		Limber;		Unburden;	Prankster;		255;		Field;		;			41;50;37;50;37;66
Liepard;		510;	;				Dark;	;		Limber;		Unburden;	Prankster;		90;			Field;		;			64;88;50;88;50;106
Pansage;		511;	;				Grass;	;		Gluttony;	;			Overgrow;		190;		Field;		;			50;53;48;53;48;64
Simisage;		512;	;				Grass;	;		Gluttony;	;			Overgrow;		75;			Field;		;			75;98;63;98;63;101
Pansear;		513;	;				Fire;	;		Gluttony;	;			Blaze;			190;		Field;		;			50;53;48;53;48;64
Simisear;		514;	;				Fire;	;		Gluttony;	;			Blaze;			75;			Field;		;			75;98;63;98;63;101
Panpour;		515;	;				Water;	;		Gluttony;	;			Torrent;		190;		Field;		;			50;53;48;53;48;64
Simipour;		516;	;				Water;	;		Gluttony;	;			Torrent;		75;			Field;		;			75;98;63;98;63;101
Munna;			517;	;				Psychic;;		Forewarn;	Synchronize;Telepathy;		190;		Field;		;			76;25;45;67;55;24
Musharna;		518;	;				Psychic;;		Forewarn;	Synchronize;Telepathy;		75;			Field;		;			116;55;85;107;95;29
Pidove;			519;	;				Normal;	Flying;	Big Pecks;	Super Luck;	Rivalry;		255;		Flying;		;			50;55;50;36;30;43
Tranquill;		520;	;				Normal;	Flying;	Big Pecks;	Super Luck;	Rivalry;		120;		Flying;		;			62;77;62;50;42;65
Unfezant;		521;	;				Normal;	Flying;	Big Pecks;	Super Luck;	Rivalry;		45;			Flying;		;			80;115;80;65;55;93
Blitzle;		522;	;				Electric;;		Lightning Rod;Motor Drive;Sap Sipper;	190;		Field;		;			45;60;32;50;32;76
Zebstrika;		523;	;				Electric;;		Lightning Rod;Motor Drive;Sap Sipper;	75;			Field;		;			75;100;63;80;63;116
Roggenrola;		524;	;				Rock;	;		Sturdy;		Weak Armor;	Sand Force;		255;		Mineral;	;			55;75;85;25;25;15
Boldore;		525;	;				Rock;	;		Sturdy;		Weak Armor;	Sand Force;		120;		Mineral;	;			70;105;105;50;40;20
Gigalith;		526;	;				Rock;	;		Sturdy;		Sand Stream;Sand Force;		45;			Mineral;	;			85;135;130;60;80;25
Woobat;			527;	;				Psychic;Flying;	Unaware;	Klutz;		Simple;			190;		Field;		Flying;		65;45;43;55;43;72
Swoobat;		528;	;				Psychic;Flying;	Unaware;	Klutz;		Simple;			45;			Field;		Flying;		67;57;55;77;55;114
Drilbur;		529;	;				Ground;	;		Sand Rush;	Sand Force;	Mold Breaker;	120;		Field;		;			60;85;40;30;45;68
Excadrill;		530;	;				Ground;	Steel;	Sand Rush;	Sand Force;	Mold Breaker;	60;			Field;		;			110;135;60;50;65;88
Audino;			531;	;				Normal;	;		Healer;		Regenerator;Klutz;			255;		Fairy;		;			103;60;86;60;86;50
Timburr;		532;	;				Fighting;;		Guts;		Sheer Force;Iron Fist;		180;		Human-Like;	;			75;80;55;25;35;35
Gurdurr;		533;	;				Fighting;;		Guts;		Sheer Force;Iron Fist;		90;			Human-Like;	;			85;105;85;40;50;40
Conkeldurr;		534;	;				Fighting;;		Guts;		Sheer Force;Iron Fist;		45;			Human-Like;	;			105;140;95;55;65;45
Tympole;		535;	;				Water;	;		Swift Swim;	Hydration;	Water Absorb;	255;		Water 1;	;			50;50;40;50;40;64
Palpitoad;		536;	;				Water;	Ground;	Swift Swim;	Hydration;	Water Absorb;	120;		Water 1;	;			75;65;55;65;55;69
Seismitoad;		537;	;				Water;	Ground;	Swift Swim;	Poison Touch;Water Absorb;	45;			Water 1;	;			105;95;75;85;75;74
Throh;			538;	;				Fighting;;		Guts;		Inner Focus;Mold Breaker;	45;			Human-Like;	;			120;100;85;30;85;45
Sawk;			539;	;				Fighting;;		Sturdy;		Inner Focus;Mold Breaker;	45;			Human-Like;	;			75;125;75;30;75;85
Sewaddle;		540;	;				Bug;	Grass;	Swarm;		Chlorophyll;Overcoat;		255;		Bug;		;			45;53;70;40;60;42
Swadloon;		541;	;				Bug;	Grass;	Leaf Guard;	Chlorophyll;Overcoat;		120;		Bug;		;			55;63;90;50;80;42
Leavanny;		542;	;				Bug;	Grass;	Swarm;		Chlorophyll;Overcoat;		45;			Bug;		;			75;103;80;70;80;92
Venipede;		543;	;				Bug;	Poison;	Poison Point;Swarm;		Speed Boost;	255;		Bug;		;			30;45;59;30;39;57
Whirlipede;		544;	;				Bug;	Poison;	Poison Point;Swarm;		Speed Boost;	120;		Bug;		;			40;55;99;40;79;47
Scolipede;		545;	;				Bug;	Poison;	Poison Point;Swarm;		Speed Boost;	45;			Bug;		;			60;100;89;55;69;112
Cottonee;		546;	;				Grass;	Fairy;	Prankster;	Infiltrator;Chlorophyll;	190;		Grass;		Fairy;		40;27;60;37;50;66
Whimsicott;		547;	;				Grass;	Fairy;	Prankster;	Infiltrator;Chlorophyll;	75;			Grass;		Fairy;		60;67;85;77;75;116
Petilil;		548;	;				Grass;	;		Chlorophyll;Own Tempo;	Leaf Guard;		190;		Grass;		;			45;35;50;70;50;30
Lilligant;		549;	;				Grass;	;		Chlorophyll;Own Tempo;	Leaf Guard;		75;			Grass;		;			70;60;75;110;75;90
Basculin;		550;	;				Water;	;		Reckless;	Adaptability;Mold Breaker;	25;			Water 2;	;			70;92;65;80;55;98
Sandile;		551;	;				Ground;	Dark;	Intimidate;	Moxie;		Anger Point;	180;		Field;		;			50;72;35;35;35;65
Krokorok;		552;	;				Ground;	Dark;	Intimidate;	Moxie;		Anger Point;	90;			Field;		;			60;82;45;45;45;74
Krookodile;		553;	;				Ground;	Dark;	Intimidate;	Moxie;		Anger Point;	45;			Field;		;			95;117;80;65;70;92
Darumaka;		554;	;				Fire;	;		Hustle;		;			Inner Force;	120;		Field;		;			70;90;45;15;45;50
Darmanitan;		555;	;				Fire;	;		Sheer Force;;			Zen Mode;		60;			Field;		;			105;140;55;30;55;95
Maractus;		556;	;				Grass;	;		Water Absorb;Chlorophyll;Storm Drain;	255;		Grass;		;			75;86;67;106;67;60
Dwebble;		557;	;				Bug;	Rock;	Sturdy;		Shell Armor;Weak Armor;		190;		Bug;		Mineral;	50;65;85;35;35;55
Crustle;		558;	;				Bug;	Rock;	Sturdy;		Shell Armor;Weak Armor;		75;			Bug;		Mineral;	70;105;125;65;75;45
Scraggy;		559;	;				Dark;	Fighting;Shed Skin;	Moxie;		Intimidate;		180;		Field;		Dragon;		50;75;70;35;70;48
Scrafty;		560;	;				Dark;	Fighting;Shed Skin;	Moxie;		Intimidate;		90;			Field;		Dragon;		65;90;115;45;115;58
Sigilyph;		561;	;				Psychic;Flying;	Wonder Skin;Magic Guard;Tinted Lens;	45;			Flying;		;			72;58;80;103;80;97
Yamask;			562;	;				Ghost;	;		Mummy;		;			;				190;		Mineral;	Amorphous;	38;30;85;55;65;30
Cofagrigus;		563;	;				Ghost;	;		Mummy;		;			;				90;			Mineral;	Amorphous;	58;50;145;95;105;30
Tirtouga;		564;	;				Water;	Rock;	Solid Rock;	Sturdy;		Swift Swim;		45;			Water 1;	Water 3;	54;78;103;53;45;22
Carracosta;		565;	;				Water;	Rock;	Solid Rock;	Sturdy;		Swift Swim;		45;			Water 1;	Water 3;	74;108;133;83;65;32
Archen;			566;	;				Rock;	Flying;	Defeatist;	;			;				45;			Flying;		Water 3;	55;112;45;74;45;70
Archeops;		567;	;				Rock;	Flying;	Defeatist;	;			;				45;			Flying;		Water 3;	75;140;65;112;65;110
Trubbish;		568;	;				Poison;	;		Stench;		Sticky Hold;Aftermath;		190;		Mineral;	;			50;50;62;40;62;65
Garbodor;		569;	;				Poison;	;		Stench;		Weak Armor;	Aftermath;		60;			Mineral;	;			80;95;82;60;82;75
Zorua;			570;	;				Dark;	;		Illusion;	;			;				75;			Field;		;			40;65;40;80;40;65
Zoroark;		571;	;				Dark;	;		Illusion;	;			;				45;			Field;		;			60;105;60;120;60;105
Minccino;		572;	;				Normal;	;		Cute Charm;	Technician;	Skill Link;		255;		Field;		;			55;50;40;40;40;75
Cinccino;		573;	;				Normal;	;		Cute Charm;	Technician;	Skill Link;		60;			Field;		;			75;95;60;65;60;115
Gothita;		574;	;				Psychic;;		Frisk;		Competitive;Shadow Tag;		200;		Human-Like;	;			45;30;50;55;65;45
Gothorita;		575;	;				Psychic;;		Frisk;		Competitive;Shadow Tag;		100;		Human-Like;	;			60;45;70;75;85;55
Gothitelle;		576;	;				Psychic;;		Frisk;		Competitive;Shadow Tag;		50;			Human-Like;	;			70;55;95;95;110;65
Solosis;		577;	;				Psychic;;		Overcoat;	Magic Guard;Regenerator;	200;		Amorphous;	;			45;30;40;105;50;20
Duosion;		578;	;				Psychic;;		Overcoat;	Magic Guard;Regenerator;	100;		Amorphous;	;			65;40;50;125;60;30
Reuniclus;		579;	;				Psychic;;		Overcoat;	Magic Guard;Regenerator;	50;			Amorphous;	;			110;65;75;125;85;30
Ducklett;		580;	;				Water;	Flying;	Keen Eye;	Big Pecks;	Hydration;		190;		Water 1;	Flying;		62;44;50;44;50;55
Swanna;			581;	;				Water;	Flying;	Keen Eye;	Big Pecks;	Hydration;		45;			Water 1;	Flying;		75;87;63;87;63;98
Vanillite;		582;	;				Ice;	;		Ice Body;	Snow Cloak;	Weak Armor;		255;		Mineral;	;			36;50;50;65;60;44
Vanillish;		583;	;				Ice;	;		Ice Body;	Snow Cloak;	Weak Armor;		120;		Mineral;	;			51;65;65;80;75;59
Vanilluxe;		584;	;				Ice;	;		Ice Body;	Snow Warning;Weak Armor;	45;			Mineral;	;			71;95;85;110;95;79
Deerling;		585;	;				Normal;	Grass;	Chlorophyll;Sap Sipper;	Serene Grace;	190;		Field;		;			60;60;50;40;50;75
Sawsbuck;		586;	;				Normal;	Grass;	Chlorophyll;Sap Sipper;	Serene Grace;	75;			Field;		;			80;100;70;60;70;95
Emolga;			587;	;				Electric;Flying;Static;		;			Motor Drive;	200;		Field;		;			55;75;60;75;60;103
Karrablast;		588;	;				Bug;	;		Swarm;		Shed Skin;	No Guard;		200;		Bug;		;			50;75;45;40;45;60
Escavalier;		589;	;				Bug;	Steel;	Swarm;		Shell Armor;Overcoat;		75;			Bug;		;			70;135;105;60;105;20
Foongus;		590;	;				Grass;	Poison;	Effect Spore;;			Regenerator;	190;		Grass;		;			69;55;45;55;55;15
Amoonguss;		591;	;				Grass;	Poison;	Effect Spore;;			Regenerator;	75;			Grass;		;			114;85;70;85;80;30
Frillish;		592;	;				Water;	Ghost;	Water Absorb;Cursed Body;Damp;			190;		Amorphous;	;			55;40;50;65;85;40
Jellicent;		593;	;				Water;	Ghost;	Water Absorb;Cursed Body;Damp;			60;			Amorphous;	;			100;60;70;85;105;60
Alomomola;		594;	;				Water;	;		Healer;		Hydration;	Regenerator;	75;			Water 1;	Water 2;	165;75;80;40;45;65
Joltik;			595;	;				Bug;	Electric;Compound Eyes;Unnerve;	Swarm;			190;		Bug;		;			50;47;50;57;50;65
Galvantula;		596;	;				Bug;	Electric;Compound Eyes;Unnerve;	Swarm;			75;			Bug;		;			70;77;60;97;60;108
Ferroseed;		597;	;				Grass;	Steel;	Iron Barbs;	;			;				255;		Grass;		Mineral;	44;50;91;24;86;10
Ferrothorn;		598;	;				Grass;	Steel;	Iron Barbs;	;			;				90;			Grass;		Mineral;	74;94;131;54;116;20
Klink;			599;	;				Steel;	;		Plus;		Minus;		Clear Body;		130;		Mineral;	;			40;55;70;45;60;30
Klang;			600;	;				Steel;	;		Plus;		Minus;		Clear Body;		60;			Mineral;	;			60;80;95;70;85;50
Klinklang;		601;	;				Steel;	;		Plus;		Minus;		Clear Body;		30;			Mineral;	;			60;100;115;70;85;90
Tynamo;			602;	;				Electric;;		Levitate;	;			;				190;		Amorphous;	;			35;55;40;45;40;60
Eelektrik;		603;	;				Electric;;		Levitate;	;			;				60;			Amorphous;	;			65;85;70;75;70;40
Eelektross;		604;	;				Electric;;		Levitate;	;			;				30;			Amorphous;	;			85;115;80;105;80;50
Elgyem;			605;	;				Psychic;;		Telepathy;	Synchronize;Analytic;		255;		Human-Like;	;			55;55;55;85;55;30
Beheeyem;		606;	;				Psychic;;		Telepathy;	Synchronize;Analytic;		90;			Human-Like;	;			75;75;75;125;95;40
Litwick;		607;	;				Ghost;	Fire;	Flash Fire;	Flame Body;	Infiltrator;	190;		Amorphous;	;			50;30;55;65;55;20
Lampent;		608;	;				Ghost;	Fire;	Flash Fire;	Flame Body;	Infiltrator;	90;			Amorphous;	;			60;40;60;95;60;55
Chandelure;		609;	;				Ghost;	Fire;	Flash Fire;	Flame Body;	Infiltrator;	45;			Amorphous;	;			60;55;90;145;90;80
Axew;			610;	;				Dragon;	;		Rivalry;	Mold Breaker;Unnerve;		75;			Monster;	Dragon;		46;87;60;30;40;57
Fraxure;		611;	;				Dragon;	;		Rivalry;	Mold Breaker;Unnerve;		60;			Monster;	Dragon;		66;117;70;40;50;67
Haxorus;		612;	;				Dragon;	;		Rivalry;	Mold Breaker;Unnerve;		45;			Monster;	Dragon;		76;147;90;60;70;97
Cubchoo;		613;	;				Ice;	;		Snow Cloak;	Slush Rush;	Rattled;		120;		Field;		;			55;70;40;60;40;40
Beartic;		614;	;				Ice;	;		Snow Cloak;	Slush Rush;	Swift Swim;		60;			Field;		;			95;130;80;70;80;50
Cryogonal;		615;	;				Ice;	;		Levitate;	;			;				25;			Mineral;	;			80;50;50;95;135;105
Shelmet;		616;	;				Bug;	;		Hydration;	Shell Armor;Overcoat;		200;		Bug;		;			50;40;85;40;65;25
Accelgor;		617;	;				Bug;	;		Hydration;	Sticky Hold;Unburden;		75;			Bug;		;			80;70;40;100;60;145
Stunfisk;		618;	;				Ground;	Electric;Static;	Limber;		Sand Veil;		75;			Water 1;	Amorphous;	109;66;84;81;99;32
Mienfoo;		619;	;				Fighting;;		Inner Focus;Regenerator;Reckless;		180;		Field;		Human-Like;	45;85;50;55;50;65
Mienshao;		620;	;				Fighting;;		Inner Focus;Regenerator;Reckless;		45;			Field;		Human-Like;	65;125;60;95;60;105
Druddigon;		621;	;				Dragon;	;		Rough Skin;	Sheer Force;Mold Breaker;	45;			Dragon;		Monster;	77;120;90;60;90;48
Golett;			622;	;				Ground;	Ghost;	Iron Fist;	Klutz;		No Guard;		190;		Mineral;	;			59;74;50;35;50;35
Golurk;			623;	;				Ground;	Ghost;	Iron Fist;	Klutz;		No Guard;		90;			Mineral;	;			89;124;80;55;80;55
Pawniard;		624;	;				Dark;	Steel;	Defiant;	Inner Focus;Pressure;		120;		Human-Like;	;			45;85;70;40;40;60
Bisharp;		625;	;				Dark;	Steel;	Defiant;	Inner Focus;Pressure;		45;			Human-Like;	;			65;125;100;60;70;70
Bouffalant;		626;	;				Normal;	;		Reckless;	Sap Sipper;	Soundproof;		45;			Field;		;			95;110;95;40;95;55
Rufflet;		627;	;				Normal;	Flying;	Keen Eye;	Sheer Force;Hustle;			190;		Flying;		;			70;83;50;37;50;60
Braviary;		628;	;				Normal;	Flying;	Keen Eye;	Sheer Force;Defiant;		60;			Flying;		;			100;123;75;57;75;80
Vullaby;		629;	;				Dark;	Flying;	Big Pecks;	Overcoat;	Weak Armor;		190;		Flying;		;			70;55;75;45;65;60
Mandibuzz;		630;	;				Dark;	Flying;	Big Pecks;	Overcoat;	Weak Armor;		60;			Flying;		;			110;65;105;55;95;80
Heatmor;		631;	;				Fire;	;		Gluttony;	Flash Fire;	White Smoke;	90;			Field;		;			85;97;66;105;66;65
Durant;			632;	;				Bug;	Steel;	Swarm;		Hustle;		Truant;			90;			Bug;		;			58;109;112;48;48;109
Deino;			633;	;				Dark;	Dragon;	Hustle;		;			;				45;			Dragon;		;			52;65;50;45;50;38
Zweilous;		634;	;				Dark;	Dragon;	Hustle;		;			;				45;			Dragon;		;			72;85;70;65;70;58
Hydreigon;		635;	;				Dark;	Dragon;	Levitate;	;			;				45;			Dragon;		;			92;105;90;125;90;98
Larvesta;		636;	;				Bug;	Fire;	Flame Body;	;			Swarm;			45;			Bug;		;			55;85;55;50;55;60
Volcarona;		637;	;				Bug;	Fire;	Flame Body;	;			Swarm;			15;			Bug;		;			85;60;65;135;105;100
Cobalion;		638;	;				Steel;	Fighting;Justified;	;			;				3;			Undiscovered;;			91;90;129;90;72;108
Terrakion;		639;	;				Rock;	Fighting;Justified;	;			;				3;			Undiscovered;;			91;129;90;72;90;108
Virizion;		640;	;				Grass;	Fighting;Justified;	;			;				3;			Undiscovered;;			91;90;72;90;129;108
Tornadus;		641;	;				Flying;	;		Prankster;	;			Defiant;		3;			Undiscovered;;			79;115;70;125;80;111
Thundurus;		642;	;				Electric;Flying;Prankster;	;			Defiant;		3;			Undiscovered;;			79;115;70;125;80;111
Reshiram;		643;	;				Dragon;	Fire;	Turboblaze;	;			;				3;			Undiscovered;;			100;120;100;150;120;90
Zekrom;			644;	;				Dragon;	Electric;Teravolt;	;			;				3;			Undiscovered;;			100;150;120;120;100;90
Landorus;		645;	;				Ground;	Flying;	Sand Force;	;			Sheer Force;	3;			Undiscovered;;			89;125;90;115;80;101
Kyurem;			646;	;				Dragon;	Ice;	Pressure;	;			;				3;			Undiscovered;;			125;130;90;130;90;95
Keldeo;			647;	;				Water;	Fighting;Justified;	;			;				3;			Undiscovered;;			91;72;90;129;90;108
Meloetta;		648;	;				Normal;	Psychic;Serene Grace;;			;				3;			Undiscovered;;			100;77;77;128;128;90
Genesect;		649;	;				Bug;	Steel;	Download;	;			;				3;			Undiscovered;;			71;120;95;120;95;99
Chespin;		650;	;				Grass;	;		Overgrow;	;			Bulletproof;	45;			Field;		;			56;61;65;48;45;38
Quilladin;		651;	;				Grass;	;		Overgrow;	;			Bulletproof;	45;			Field;		;			61;78;95;56;58;57
Chesnaught;		652;	;				Grass;	Fighting;Overgrow;	;			Bulletproof;	45;			Field;		;			88;107;122;74;75;64
Fennekin;		653;	;				Fire;	;		Blaze;		;			Magician;		45;			Field;		;			40;45;40;62;60;60
Braixen;		654;	;				Fire;	;		Blaze;		;			Magician;		45;			Field;		;			59;59;58;90;70;73
Delphox;		655;	;				Fire;	Psychic;Blaze;		;			Magician;		45;			Field;		;			75;69;72;114;100;104
Froakie;		656;	;				Water;	;		Torrent;	;			Protean;		45;			Water 1;	;			41;56;40;62;44;71
Frogadier;		657;	;				Water;	;		Torrent;	;			Protean;		45;			Water 1;	;			54;63;52;83;56;97
Greninja;		658;	;				Water;	Dark;	Torrent;	;			Protean;		45;			Water 1;	;			72;95;67;103;71;122
Bunnelby;		659;	;				Normal;	;		Pickup;		Cheek Pouch;Huge Power;		255;		Field;		;			38;36;38;32;36;57
Diggersby;		660;	;				Normal;	Ground;	Pickup;		Cheek Pouch;Huge Power;		127;		Field;		;			85;56;77;50;77;78
Fletchling;		661;	;				Normal;	Flying;	Big Pecks;	;			Gale Wings;		255;		Flying;		;			45;50;43;40;38;62
Fletchinder;	662;	;				Fire;	Flying;	Flame Body;	;			Gale Wings;		120;		Flying;		;			62;73;55;56;52;84
Talonflame;		663;	;				Fire;	Flying;	Flame Body;	;			Gale Wings;		45;			Flying;		;			78;81;71;74;69;126
Scatterbug;		664;	;				Bug;	;		Shield Dust;Compound Eyes;Friend Guard;	255;		Bug;		;			38;35;40;27;25;35
Spewpa;			665;	;				Bug;	;		Shed Skin;	;			Friend Guard;	120;		Bug;		;			45;22;60;27;30;29
Vivillon;		666;	;				Bug;	Flying;	Shield Dust;Compound Eyes;Friend Guard;	45;			Bug;		;			80;52;50;90;50;89
Litleo;			667;	;				Fire;	Normal;	Rovalry;	Unnerve;	Moxie;			220;		Field;		;			62;50;58;73;54;72
Pyroar;			668;	;				Fire;	Normal;	Rovalry;	Unnerve;	Moxie;			65;			Field;		;			86;68;72;109;66;106
Flabébé;		669;	;				Fairy;	;		Flower Veil;;			Symbiosis;		225;		Fairy;		;			44;38;39;61;79;42
Floette;		670;	;				Fairy;	;		Flower Veil;;			Symbiosis;		120;		Fairy;		;			54;45;47;75;98;52
Florges;		671;	;				Fairy;	;		Flower Veil;;			Symbiosis;		45;			Fairy;		;			78;65;68;112;154;75
Skiddo;			672;	;				Grass;	;		Sap Sipper;	;			Grass Pelt;		200;		Field;		;			66;65;48;62;57;52
Gogoat;			673;	;				Grass;	;		Sap Sipper;	;			Grass Pelt;		45;			Field;		;			123;100;62;97;81;68
Pancham;		674;	;				Fighting;;		Iron Fist;	Mold Breaker;Scrappy;		220;		Field;		Human-Like;	67;82;62;46;48;43
